root,id,ra,dec,m444,z_map,zwidth2,bic_diff,flux_ha,err_ha,sn_ha,q1,q2,q3,q4,q_fresco,multi_ids,q_congress,q_final
fresco-only-n-v2,6840,189.1696462,62.27706355,26.64,5.188,0,136.4,2.9e-18,2.8e-19,10.4,3,2,3,-1,1.75,-,1,1.75
fresco-only-n-v2,6900,189.2513278,62.27686271,27.17,5.223,0.04,63,1.4e-18,2.4e-19,5.9,1,1,2,1,1.25,-,1,1.25
fresco-only-n-v2,6983,189.2774251,62.27639116,26.22,6.138,0.002,97.2,0,0,-99,-1,-1,0,-1,-0.75,-,1,-0.75
fresco-only-n-v2,7173,189.1792918,62.27588058,24.57,6.53,0,185.3,8.4e-18,6.9e-19,12.2,2,2,2,2,2,-,1.5,1.5
fresco-only-n-v2,7193,189.3071792,62.27585751,27.09,5.197,0,145.9,2.8e-18,2.6e-19,11,3,3,3,3,3,-,1,3
fresco-only-n-v2,7348,189.1756469,62.27528468,26.94,5.301,0,139.7,1.5e-18,1.5e-19,10.5,3,2,3,1,2.25,-,1,2.25
fresco-only-n-v2,7550,189.0642699,62.27427593,25.45,5.149,0,152.6,2.3e-18,2.1e-19,11,2,3,3,2,2.5,-,1,2.5
fresco-only-n-v2,7653,189.2390166,62.27404893,27.26,5.194,0,103.4,1.8e-18,2.2e-19,8.4,2,3,2,2,2.25,-,1,2.25
fresco-only-n-v2,7761,189.1152859,62.27364875,25.16,5.317,0.001,75.7,4.3e-18,6.8e-19,6.4,0,0,0,0,0,-,0,0
fresco-only-n-v2,7776,189.0989835,62.27359935,25.75,5.674,0,96.8,2.9e-18,3.6e-19,8.2,1,2,2,2,1.75,-,1,1.75
fresco-only-n-v2,7784,189.1230204,62.27363463,27.31,5.315,0,64.9,1.4e-18,2.2e-19,6.2,3,2,3,1,2.25,-,2,2
fresco-only-n-v2,7827,189.0720829,62.27342825,25.5,5.145,0,632.1,3.9e-18,1.5e-19,25.7,3,3,3,3,3,-,1,3
