name,ra,dec,priority,type
z5_GND_40117,189.177521,62.184551,4,TARGET
z5_GND_39570,189.175720,62.186714,4,TARGET
z5_GND_39523,189.186615,62.187000,4,TARGET
z5_GND_39445,189.178650,62.187237,4,TARGET
z5_GND_35187,189.292587,62.202457,4,TARGET
z5_GND_35096,189.283508,62.203049,4,TARGET
z5_GND_35084,189.278580,62.203220,4,TARGET
z5_GND_34379,189.249405,62.205284,4,TARGET
z5_GND_33500,189.261383,62.208023,4,TARGET
z5_GND_33094,189.266449,62.209164,4,TARGET
z5_GND_31569,189.207809,62.213249,4,TARGET
z5_GND_30740,189.221237,62.216541,4,TARGET
z5_GND_34594,189.202988,62.204651,4,TARGET
z5_GND_26806,189.273712,62.228466,4,TARGET
z5_GND_27870,189.263809,62.225407,4,TARGET
z5_GND_28944,189.225967,62.222118,4,TARGET
z5_GND_23238,189.272186,62.238361,4,TARGET
z5_GND_22869,189.273712,62.239220,4,TARGET
z5_GND_18697,189.302582,62.251148,4,TARGET
z5_GND_16018,189.291290,62.258629,4,TARGET
z5_GND_15601,189.296097,62.259697,4,TARGET
z5_GND_15356,189.282211,62.260399,4,TARGET
z5_GND_15712,189.200607,62.259445,4,TARGET
z5_GND_12659,189.260620,62.268284,4,TARGET
z5_GND_11789,189.243515,62.270794,4,TARGET
z5_GND_12705,189.218094,62.268093,4,TARGET
z5_GND_11521,189.217407,62.271622,4,TARGET
z5_GND_12062,189.188843,62.269917,4,TARGET
z5_GND_10047,189.296280,62.277386,4,TARGET
z5_GND_9333,189.277710,62.280643,4,TARGET
z5_GND_44604,189.263397,62.285717,4,TARGET
z5_GND_44836,189.180756,62.282238,4,TARGET
z5_GND_8641,189.196930,62.284508,4,TARGET
z5_GND_10768,189.172516,62.274570,4,TARGET
z5_GND_10054,189.169846,62.277298,4,TARGET
z5_GND_44411,189.159821,62.287952,4,TARGET
z5_GND_7157,189.204910,62.298958,4,TARGET
z5_GND_6005,189.215530,62.318878,4,TARGET
z5_GND_42189,189.165497,62.306877,4,TARGET
z5_GND_4732,189.179245,62.329845,4,TARGET
z5_GND_32925,189.156342,62.210011,4,TARGET
z5_GND_32295,189.117996,62.211357,4,TARGET
z5_GND_29527,189.100662,62.220226,4,TARGET
z5_GND_29491,189.104431,62.220345,4,TARGET
z5_GND_28795,189.149551,62.221996,4,TARGET
z5_GND_27871,189.135422,62.225361,4,TARGET
z5_GND_27366,189.132629,62.226734,4,TARGET
z5_GND_26652,189.127609,62.228935,4,TARGET
z5_GND_26558,189.125916,62.229160,4,TARGET
z5_GND_25578,189.149429,62.231865,4,TARGET
z5_GND_25053,189.151260,62.233215,4,TARGET
