root,id,ra,dec,m444,z_map,zwidth2,bic_diff,flux_ha,err_ha,sn_ha,q1,q2,q3,q4,q,multi_ids
congress-n-v1,18392,189.0914372,62.24143825,27.83,4.912,0,108.6,1.2e-18,1.4e-19,8.8,2,2,1,3,2,-
congress-n-v1,18403,189.2602012,62.24141845,27.86,4.677,0,111,1.4e-18,1.6e-19,8.6,-1,-1,-1,-1,-1,-
congress-n-v1,18456,189.1431489,62.24120016,26.02,4.076,0.038,64.9,1.9e-18,3.7e-19,5.1,0,0,0,0,0,-
congress-n-v1,18498,189.1395065,62.24151838,25.27,4.837,0,187.1,2.4e-18,1.9e-19,12.6,0,1,2,3,1.5,-
congress-n-v1,18502,189.1120285,62.24112782,27.42,3.845,0,101.8,2.9e-18,3.5e-19,8.3,2,2,1,3,2,-
congress-n-v1,18503,189.1492613,62.24112483,25.93,4.912,0,479.9,4.0e-18,1.9e-19,21,3,2,3,3,2.75,-
congress-n-v1,18517,189.1396471,62.24143091,26.01,4.829,0,320.6,2.6e-18,1.5e-19,17,0,2,3,2,1.75,-
congress-n-v1,18547,189.1243691,62.24092899,26.1,3.848,0,94.6,3.1e-18,3.7e-19,8.4,1,1,0,1,0.75,-
congress-n-v1,18609,189.1762355,62.24081827,27.29,4.413,0,240.8,2.7e-18,1.9e-19,14.5,3,2,3,3,2.75,-
congress-n-v1,18636,189.0158687,62.24059855,24.96,4.037,0,972,1.4e-17,4.6e-19,30.9,3,2,3,3,2.75,-
congress-n-v1,18646,189.0623229,62.24181035,26.64,4.846,0,85,1.4e-18,1.9e-19,7.4,1,1,0,2,1,-
congress-n-v1,18647,189.28597,62.24061526,24.79,3.856,0,208.8,1.1e-17,8.4e-19,13.1,1,2,3,3,2.25,-
congress-n-v1,18659,189.1137759,62.24068157,27.69,4.025,0.048,60.1,2.0e-18,3.5e-19,5.5,1,1,0,1,0.75,-
