slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
171,794,3DHST_28990,189.116898,62.285,0,0,0.0010000000474974513,434.9998779296875,2000,TARGET,7624.93948292018,10147.571858217516,A
178,817,3DHST_29708,189.109268,62.288822,0,0,0.0010000000474974513,459,2000,TARGET,7593.618587249896,10116.265012855087,A
106,501,3DHST_30598,189.086502,62.293606,0,0,0.0010000000474974513,125,2000,TARGET,7511.844867388455,10034.527765275481,A
221,995,3DHST_30055,189.12735,62.290607,0,0,0.0010000000474974513,643.9999389648438,2000,TARGET,7648.7502393675095,10171.372302505906,A
161,747,3DHST_31439,189.085495,62.298607,0,0,0.0010000000474974513,386.9998779296875,2000,TARGET,7499.858341496771,10022.546794485275,A
325,1434,3DHST_31527,189.108414,62.299191,0,0,0.0010000000474974513,1108,2000,TARGET,7572.746433661545,10095.402620755234,A
147,707,3DHST_31777,189.125305,62.300854,0,0,0.0010000000474974513,346.9998779296875,2000,TARGET,7624.334626443496,10146.96805781967,A
225,1033,3DHST_31880,189.148941,62.301373,0,0,0.0010000000474974513,684,2000,TARGET,7699.662657197673,10222.262765515237,A
45,237,z5_GND_42576,189.143311,62.304779,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7675.655056224662,10198.266013363298,A
186,842,3DHST_33146,189.132248,62.310017,0,0,0.0010000000474974513,485,2000,TARGET,7631.010785069821,10153.64185912542,A
51,278,z7_GND_41546,189.159698,62.310566,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7718.660708859321,10241.25304983881,A
315,1371,3DHST_33853,189.145981,62.315037,0,0,0.0010000000474974513,1040,2000,TARGET,7666.819159805348,10189.43477159318,A
240,1099,3DHST_34381,189.148331,62.319096,0,0,0.0010000000474974513,754,2000,TARGET,7667.57274287797,10190.188351589222,A
111,526,3DHST_34649,189.147751,62.321335,0,0,0.0010000000474974513,153.9998779296875,2000,TARGET,7661.947280939741,10184.565566259811,A
2,4,f_3,188.910191,62.352588,0,0,0.0010000000474974513,1,2000,STANDARD,6841.397951316446,9364.38156176251,A
286,1282,3DHST_35868,189.141403,62.332088,0,0,0.0010000000474974513,948,2000,TARGET,7623.5730272200235,10146.209252085566,A
1,3,f_2,188.902346,62.363999,0,0,0.0010000000474974513,1,2000,STANDARD,6797.170757080644,9320.174982548095,A
194,421,3DHST_396,189.212997,62.112446,0,0,0.0010000000474974513,42,2000,TARGET,7583.769529682158,10106.428224527035,B
187,411,3DHST_724,189.172592,62.119579,0,0,0.0010000000474974513,30.9998779296875,2000,TARGET,7726.956685343798,10249.55137794969,B
277,639,3DHST_839,189.191681,62.121159,0,0,0.0010000000474974513,277,2000,TARGET,7667.054968473485,10189.67579021213,B
59,115,z5_GNW_2919,189.203491,62.122383,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7630.40838752362,10153.04516791064,B
224,494,3DHST_993,189.208237,62.124138,0,0,0.0010000000474974513,117.9998779296875,2000,TARGET,7617.6860268933915,10140.32817162809,B
60,116,z5_GNW_3424,189.208527,62.126209,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7620.024027941262,10142.664870799155,B
16,29,z6_GNW_4311,189.178604,62.132816,0,0,0.0010000000474974513,3,2000,TARGET,7728.149702346695,10250.742081042687,B
239,534,3DHST_1549,189.20018,62.133183,0,0,0.0010000000474974513,162.9998779296875,2000,TARGET,7658.374494740016,10180.997561827102,B
315,713,3DHST_1815,189.1922,62.136517,0,0,0.0010000000474974513,352.9998779296875,2000,TARGET,7689.7339153786925,10212.342758359808,B
208,458,3DHST_2242,189.186905,62.141502,0,0,0.0010000000474974513,80,2000,TARGET,7715.012474760048,10237.609586595783,B
561,1322,3DHST_2260,189.220795,62.141315,0,0,0.0010000000474974513,989,2000,TARGET,7604.343786224117,10126.98971312374,B
480,1094,3DHST_2304,189.237244,62.141926,0,0,0.0010000000474974513,747.9999389648438,2000,TARGET,7551.790794889941,10074.45983256871,B
269,619,3DHST_3499,189.201157,62.151718,0,0,0.0010000000474974513,254,2000,TARGET,7685.283780226368,10207.892890842673,B
232,515,3DHST_2136,189.307358,62.140469,0,0,0.0010000000474974513,140.9998779296875,2000,TARGET,7321.1693955496285,9843.940344256886,B
113,248,z5_GND_464,189.270706,62.148418,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7453.669565919816,9976.381243335438,B
418,950,3DHST_4469,189.215958,62.159287,0,0,0.0010000000474974513,597,2000,TARGET,7649.733571208774,10172.357645941955,B
81,158,z5_GND_1415,189.234848,62.160557,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7590.521906069185,10113.17202619449,B
580,1362,3DHST_4441,189.266205,62.158974,0,0,0.0010000000474974513,1031,2000,TARGET,7486.0438191264675,10008.740244189343,B
284,651,3DHST_5994,189.203705,62.17033,0,0,0.0010000000474974513,289.9998779296875,2000,TARGET,7708.063465160417,10230.660816553389,B
79,156,z5_GND_2126,189.247681,62.167103,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7559.960841825877,10082.623931645818,B
211,468,3DHST_5054,189.291077,62.163921,0,0,0.0010000000474974513,90,2000,TARGET,7413.755822173991,9936.48381283837,B
436,982,3DHST_5937,189.279327,62.169662,0,0,0.0010000000474974513,630.9999389648438,2000,TARGET,7461.73435488314,9984.440704254437,B
220,489,3DHST_5922,189.297256,62.169655,0,0,0.0010000000474974513,112.9998779296875,2000,TARGET,7403.604323768423,9926.336396901786,B
82,160,z5_GND_3052,189.288742,62.173836,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7438.449272000106,9961.165647060929,B
90,168,z5_GND_39635,189.215805,62.18647,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7696.520609339668,10219.12193680844,B
21,45,z6_GND_3883,189.303238,62.178509,0,0,0.0010000000474974513,3,2000,TARGET,7399.66651539287,9922.399783217224,B
86,164,z5_GND_39516,189.250916,62.187057,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7583.965711839429,10106.616861516997,B
200,441,3DHST_9948,189.229034,62.191795,0,0,0.0010000000474974513,63,2000,TARGET,7663.027598083326,10185.64346504864,B
110,245,z6_GND_40374,189.31723,62.183056,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7362.404275631704,9885.153814103107,B
