id_candels id_charlotte ra_candels dec_candels
3102 z5_GND_1303 189.23841189 62.15938369
3206 z5_GND_1415 189.2348398 62.16054555
3512 z5_GNW_9541 189.16581629 62.16363979999999
4594 z5_GND_3052 189.28896022 62.1739125
4951 z5_GND_3651 189.30360594 62.17736201
4386 z5_GND_2774 189.24513521 62.17204881
5192 z5_GND_4070 189.2553026 62.17935969
5486 z5_GND_40815 189.19471779 62.18167561
6044 z5_GND_39799 189.29985325 62.18582812
6971 z5_GND_38172 189.30330879 62.19222378
6203 z5_GND_39516 189.25093545 62.18704959
6315 z5_GND_39309 189.23861751 62.18764602
6993 z5_GND_38076 189.25985863 62.19248785
7400 z5_GND_37378 189.26171192 62.19490574
6145 z5_GND_39635 189.21576553 62.18646913
5877 z5_GND_40117 189.17752025 62.18455116
6199 z5_GND_39570 189.17571988 62.18671464
6197 z5_GND_39523 189.1866319 62.18700087
29398 z5_GND_39445 189.17864269 62.18723406
30007 z5_GND_35187 189.29219796 62.2024451
8667 z5_GND_35096 189.28349852 62.20304881
8621 z5_GND_35084 189.27860432 62.20321982
9017 z5_GND_34379 189.24922614 62.20523894
9411 z5_GND_33500 189.26136884 62.20801493
9576 z5_GND_33094 189.26644787 62.20916447
10191 z5_GND_31569 189.2077941 62.21325138
10668 z5_GND_30740 189.22122683 62.21654023
8911 z5_GND_34594 189.20299286 62.20464728
12422 z5_GND_26806 189.27359903 62.22841976
11955 z5_GND_27870 189.26380727 62.22540676
11485 z5_GND_28944 189.22596748 62.22211871
13957 z5_GND_23238 189.27218979 62.23837434
14095 z5_GND_22869 189.27370817 62.23921802
15907 z5_GND_18697 189.30264580000002 62.25115641
17065 z5_GND_16018 189.29132646 62.25862528
17218 z5_GND_15601 189.29609452 62.25969805
17357 z5_GND_15356 189.2822208 62.26040075
17177 z5_GND_15712 189.20060992 62.25944159
18615 z5_GND_12659 189.26059982 62.26827904
19024 z5_GND_11789 189.24346105 62.27082274
18605 z5_GND_12705 189.21808921 62.26808981
19201 z5_GND_11521 189.21727843 62.27160474
18874 z5_GND_12062 189.18884634 62.26991119
20039 z5_GND_10047 189.29627745 62.27738622
20501 z5_GND_9333 189.27757193 62.28066988
33566 z5_GND_44604 189.26339753 62.28572412
20709 z5_GND_44836 189.18074968 62.28223942
21001 z5_GND_8641 189.19692239 62.28450403
19604 z5_GND_10768 189.17252055 62.27456721
20038 z5_GND_10054 189.16984455 62.27729526
21468 z5_GND_44411 189.15982618 62.28795479
22827 z5_GND_7157 189.20492212 62.29896139
26620 z5_GND_6005 189.21553852 62.31887935
23672 z5_GND_42189 189.16549762 62.30687322
25593 z5_GND_4732 189.17922036 62.32983613
9665 z5_GND_32925 189.15634328 62.21000415
30380 z5_GND_32295 189.11802417 62.21137142
11201 z5_GND_29527 189.10066265 62.22022315
30751 z5_GND_29491 189.10443479 62.22034408
11508 z5_GND_28795 189.14956809 62.22200958
11959 z5_GND_27871 189.13541936 62.22536329999999
12143 z5_GND_27366 189.13263067 62.22672806
31107 z5_GND_26652 189.12763018 62.22893284
12521 z5_GND_26558 189.12591066 62.22915908
12941 z5_GND_25578 189.14940990000002 62.23186779
31273 z5_GND_25053 189.15147586 62.23324395
30840 z5_GND_28693 189.1063576 62.22281328
11967 z5_GND_27819 189.11033662 62.22544088
12311 z5_GND_27023 189.11342187 62.22766346
13773 z5_GND_23616 189.12613382 62.23717756
13848 z5_GND_23450 189.13921141 62.23773658
15080 z5_GND_20529 189.12576412 62.24591309
13634 z5_GND_23926 189.11908681 62.23624969
13985 z5_GND_23098 189.11962951 62.238542599999995
14001 z5_GND_23097 189.12005133 62.2386546
14152 z5_GND_22822 189.09484714 62.23940763
14504 z5_GND_21873 189.12416102 62.24221357
31775 z5_GND_21641 189.11760988 62.24431349
14831 z5_GND_21153 189.0496284 62.24403342
17949 z5_GND_13973 189.14568809 62.264247999999995
32759 z5_GND_13494 189.14782043 62.26567925
16585 z5_GND_17105 189.11863897 62.25554761
17625 z5_GND_14761 189.10005714 62.26204749
16729 z5_GND_16723 189.06017340000002 62.25650574
19989 z5_GND_10084 189.14071177 62.2772324
19496 z5_GND_45273 189.07792003 62.27383689999999
23505 z5_GND_42576 189.14218702 62.30436488
21759 z5_GNW_25352 189.40733005 62.29008955
27059 z6_GNW_21823 189.35499582 62.31259349
28114 z5_GNW_5622 189.08082284 62.14108623
3621 z6_GNW_9770 189.11779001 62.16463558
16312 z5_GND_17752 189.09179789 62.25373546
5188 z5_GNW_11950 188.96729738 62.17890961
11247 z5_GNW_17295 188.9858017 62.2203649
29260 z6_GND_40374 189.31742287 62.183235499999995
29762 z5_GND_37006 189.36600701 62.19618922
15407 z6_GND_19744 189.33347926 62.24817825
17254 z5_GND_15486 189.31386747 62.25985996
2120 z5_GND_464 189.27072065 62.14842438
11912 z5_GND_28158 189.18922355 62.22386731
15496 z5_GND_19515 189.22476067 62.24885024
33787 z6_GND_44138 189.25621185 62.29127237
22526 z5_GND_7334 189.17300318 62.29644897
11491 z5_GND_28891 189.11693713 62.22207218
14135 z5_GND_22796 189.08863675 62.23948651
16312 z5_GND_17752 189.09179789 62.25373546
19460 z5_GND_11013 189.15742835 62.27361197
21559 z8_GNW_25541 189.51234587 62.28805675
34199 z7_GNW_23317 189.43965307 62.30238844
26562 z8_GNW_20826 189.40117262 62.31922724
25082 z8_GNW_27475 189.37282549 62.33596106
34733 z7_GNW_19517 189.32670999 62.33482366
25303 z7_GNW_18773 189.30915651 62.36213889
27189 z7_GNW_21903 189.2921934 62.310615500000004
26218 z7_GNW_19939 189.27336816 62.32477274
34801 z8_GNW_19912 189.25271094 62.32840115
35260 z7_GNW_32502 189.28581809 62.35497547
35283 z7_GNW_32653 189.27872624 62.35745652
28308 z7_GNW_7284 189.03603957 62.14992457
33366 z7_GND_9252 189.06968044 62.28101438
5911 z7_GND_40057 189.33945799 62.18477132
6929 z7_GND_38200 189.35915231 62.19212751
16060 z7_GND_18323 189.37139177 62.25214032
14372 z8_GND_22233 189.24982686 62.24122787
15439 z5_GND_20169 189.2037689 62.24751058
15796 z7_GND_18869 189.20531439 62.25075666
17331 z7_GND_15396 189.27592036 62.26029554
18233 z7_GND_13456 189.26494316 62.26579131
19057 z7_GND_11402 189.18617832 62.27086289
19811 z7_GND_10402 189.17928734 62.27588977
21652 z7_GND_8012 189.26042333 62.28940148
21856 z7_GND_7831 189.17729828 62.29104481
21921 z7_GND_44109 189.17715769 62.29151226
26663 z7_GND_6161 189.21506537 62.31793931
27431 z7_GND_41546 189.15969557 62.31056545
31538 z8_GND_23069 189.10946483 62.238797600000005
16136 z7_GND_18181 189.08267517 62.25247452
19592 z7_GND_10780 189.13808865 62.27444156
19746 z7_GND_45190 189.13850969 62.27560183
24032 z7_GND_42108 189.13445191 62.30787068
25082 z8_GNW_27475 189.37282549 62.33596106
35443 z8_GNW_30497 189.35238358 62.34767731
28075 z8_GNW_5376 189.19107893 62.13968325
35174 z8_GNW_21001 189.28700167 62.31801773
6619 z8_GNW_13554 189.0370737 62.18971925
8553 z7_GNW_15559 189.08348808 62.20259465
29146 z8_GND_41247 189.27953686 62.17974875
30002 z8_GND_35384 189.23198934 62.20233294
14541 z8_GND_21784 189.20312353 62.24247965
18233 z7_GND_13456 189.26494316 62.26579131
21599 z8_GND_8052 189.27000984 62.2885673
21652 z7_GND_8012 189.26042333 62.28940148
14884 z7_GND_20984 189.13371548 62.24458125
14161 Hu10_z6_5 189.39971271 62.23949004
29762 Hu10_z6_11 189.36600701 62.19618922
13240 Hu10_z6_12 189.32031105 62.23344178
17763 Hu10_z6_9 189.34225365 62.26284548
28175 Hu10_z6_7 189.03277989 62.1439617
22915 Hu10_z6_6 189.32456271 62.29973367
24567 Hu10_z6_4 189.25398499 62.35395157
24567 Stark11_35_22248 189.25398499 62.35395157
27928 Hu10_z6_3 189.05670117 62.12991431
15350 Stark11_43_3982 189.0399444 62.24772144
26377 Jung18_z6_GND_5752 189.19908156 62.32098098
7858 Stark11_42_13066 189.15639949 62.19771589
31221 Stark11_33_17705 189.20820677 62.23212803
29911 Stark11_32_16773 189.19779551 62.19998291
21409 Stark11_34_24923 189.28453766 62.28749139
16068 Stark11_33_19990 189.23102481 62.25233442
11699 Jung18_z6_GND_28438 189.17802256 62.22371785
9341 Hu10_z7_1 189.35825962 62.20763746
35272 Stark11_35_22381 189.2553892 62.35775378
21753 Stark11_24_28120 189.3214621 62.29009998
34841 Stark11_24_26902 189.30761042 62.32344254
27749 Stark11_41_13100 189.15667412 62.11543567
28132 Stark11_42_6706 189.07822567 62.1419401
19811 Jung18_z7_GND_10402 189.17928734 62.27588977
22416 Hu10_z7_2 189.35688782 62.29532099
