slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side,mask
115,541,3DHST_16809,188.995056,62.225098,0,0,0.001000,171.000000,2000,TARGET,7343.951716,9866.709388,A,2020A_1
81,319,3DHST_28552,189.388748,62.282646,0,0,0.001000,172.000000,2000,TARGET,7463.882463,9986.586425,B,2020A_3
156,235,3DHST_28365,189.203781,62.281811,0,0,0.001000,174.000000,2000,TARGET,7692.499252,10215.101405,B,2020A_4
83,324,3DHST_23215,189.398849,62.256111,0,0,0.001000,177.000000,2000,TARGET,7399.252087,9921.984272,B,2020A_3
174,430,3DHST_24319,189.531250,62.261307,0,0,0.001000,178.000000,2000,TARGET,7627.045728,10149.684278,B,2020A_2
132,329,3DHST_36138,189.200119,62.334888,0,0,0.001000,183.000000,2000,TARGET,7683.254691,10205.863215,A,2020A_3
84,330,3DHST_24036,189.378662,62.260021,0,0,0.001000,184.000000,2000,TARGET,7470.102589,9992.803262,B,2020A_3
85,335,3DHST_11887,189.380676,62.201015,0,0,0.001000,190.000000,2000,TARGET,7399.357238,9922.090829,B,2020A_3
136,336,3DHST_11289,189.036804,62.198158,0,0,0.001000,191.000000,2000,TARGET,7299.890650,9822.670597,A,2020A_3
126,443,3DHST_7544,189.320236,62.179478,0,0,0.001000,192.000000,2000,TARGET,7551.438960,10074.103806,A,2020A_2
179,444,3DHST_27494,189.468262,62.276951,0,0,0.001000,193.000000,2000,TARGET,7530.678454,10053.356294,B,2020A_2
137,339,3DHST_3907,189.087906,62.154858,0,0,0.001000,197.000000,2000,TARGET,7526.168668,10048.852375,A,2020A_3
167,250,3DHST_7226,189.298431,62.177582,0,0,0.001000,200.000000,2000,TARGET,7005.062400,9527.970544,B,2020A_4
169,252,3DHST_14888,189.193878,62.215351,0,0,0.001000,203.000000,2000,TARGET,7446.074176,9968.785966,B,2020A_4
141,348,3DHST_28054,189.165527,62.280186,0,0,0.001000,207.000000,2000,TARGET,7625.032759,10147.664535,A,2020A_3
171,256,3DHST_16377,189.350571,62.222973,0,0,0.001000,208.000000,2000,TARGET,7049.693020,9572.580986,B,2020A_4
173,258,3DHST_19453,189.209808,62.237610,0,0,0.001000,210.000000,2000,TARGET,7493.281519,10015.971859,B,2020A_4
174,259,3DHST_2040,189.082947,62.139198,0,0,0.001000,211.000000,2000,TARGET,7453.642142,9976.358523,B,2020A_4
136,463,3DHST_2466,189.074417,62.143486,0,0,0.001000,215.000000,2000,TARGET,7217.881175,9740.698170,A,2020A_2
176,263,3DHST_34839,189.370361,62.323250,0,0,0.001000,217.000000,2000,TARGET,7424.499885,9947.227540,B,2020A_4
254,584,3DHST_13823,189.346039,62.210247,0,0,0.001000,218.000000,2000,TARGET,7318.601098,9841.369228,B,2020A_1
145,358,3DHST_23211,189.101288,62.256073,0,0,0.001000,220.000000,2000,TARGET,7440.874238,9963.588038,A,2020A_3
178,266,3DHST_29320,189.536407,62.286381,0,0,0.001000,222.000000,2000,TARGET,6824.454423,9347.451083,B,2020A_4
125,589,3DHST_20146,189.012695,62.241318,0,0,0.001000,223.000000,2000,TARGET,7369.595444,9892.341076,A,2020A_1
147,361,3DHST_36606,189.181000,62.340050,0,0,0.001000,224.000000,2000,TARGET,7615.478500,10138.117491,A,2020A_3
138,473,3DHST_239,189.112320,62.109001,0,0,0.001000,227.000000,2000,TARGET,6981.162803,9504.083332,A,2020A_2
258,595,3DHST_35544,189.406662,62.329411,0,0,0.001000,229.000000,2000,TARGET,7363.204224,9885.959649,B,2020A_1
182,272,3DHST_3487,189.073853,62.151566,0,0,0.001000,232.000000,2000,TARGET,7527.041993,10049.724662,B,2020A_4
127,599,3DHST_15013,189.009262,62.215900,0,0,0.001000,233.000000,2000,TARGET,7407.420891,9930.150677,A,2020A_1
93,368,3DHST_9890,189.341583,62.191742,0,0,0.001000,234.000000,2000,TARGET,7519.303972,10041.984973,B,2020A_3
183,274,3DHST_8814,189.141586,62.186298,0,0,0.001000,236.000000,2000,TARGET,7473.842102,9996.543601,B,2020A_4
184,275,3DHST_28871,189.380524,62.284370,0,0,0.001000,237.000000,2000,TARGET,7229.291607,9752.102992,B,2020A_4
261,604,3DHST_30218,189.270996,62.291668,0,0,0.001000,238.000000,2000,TARGET,7716.182072,10238.775177,B,2020A_1
96,373,3DHST_37820,189.340088,62.364216,0,0,0.001000,240.000000,2000,TARGET,7729.923447,10252.515236,B,2020A_3
194,484,3DHST_25880,189.121597,62.268585,0,0,0.001000,241.000000,2000,TARGET,7709.957372,10232.554541,B,2020A_2
195,485,3DHST_31305,189.501984,62.297665,0,0,0.001000,243.000000,2000,TARGET,7374.275914,9897.024778,B,2020A_2
146,493,3DHST_1383,189.220520,62.131031,0,0,0.001000,251.000000,2000,TARGET,7171.078808,9693.912645,A,2020A_2
269,619,3DHST_3499,189.201157,62.151718,0,0,0.001000,254.000000,2000,TARGET,7685.283780,10207.892891,B,2020A_1
147,496,3DHST_9665,189.331223,62.190723,0,0,0.001000,255.000000,2000,TARGET,7635.529913,10158.157466,A,2020A_2
197,497,3DHST_36149,189.285553,62.335037,0,0,0.001000,256.000000,2000,TARGET,7173.308583,9696.141321,B,2020A_2
196,291,3DHST_3872,189.124527,62.154549,0,0,0.001000,264.000000,2000,TARGET,7396.303776,9919.042674,B,2020A_4
135,632,3DHST_4527,189.017929,62.159500,0,0,0.001000,270.000000,2000,TARGET,7549.080368,10071.751669,A,2020A_1
277,639,3DHST_839,189.191681,62.121159,0,0,0.001000,277.000000,2000,TARGET,7667.054968,10189.675790,B,2020A_1
138,643,3DHST_7381,188.989899,62.178642,0,0,0.001000,281.000000,2000,TARGET,7419.832222,9942.559414,A,2020A_1
106,404,3DHST_15546,189.319992,62.218662,0,0,0.001000,284.000000,2000,TARGET,7617.721163,10140.356917,B,2020A_3
107,405,3DHST_31002,189.445862,62.295834,0,0,0.001000,285.000000,2000,TARGET,7293.112660,9815.893413,B,2020A_3
284,651,3DHST_5994,189.203705,62.170330,0,0,0.001000,290.000000,2000,TARGET,7708.063465,10230.660817,B,2020A_1
153,525,3DHST_8858,189.405624,62.186565,0,0,0.001000,292.000000,2000,TARGET,7636.722266,10159.351233,A,2020A_2
210,529,3DHST_28851,189.378159,62.284260,0,0,0.001000,296.000000,2000,TARGET,7504.094580,10026.781119,B,2020A_2
109,413,3DHST_29279,189.362778,62.286522,0,0,0.001000,297.000000,2000,TARGET,7553.713857,10076.377913,B,2020A_3
211,318,3DHST_20119,189.459564,62.241245,0,0,0.001000,302.000000,2000,TARGET,6832.831366,9355.818028,B,2020A_4
213,320,3DHST_34629,189.307068,62.321346,0,0,0.001000,304.000000,2000,TARGET,7583.779794,10106.434444,B,2020A_4
217,539,3DHST_26409,189.090195,62.271328,0,0,0.001000,306.000000,2000,TARGET,7704.329447,10226.930543,B,2020A_2
215,323,3DHST_2834,189.166351,62.146820,0,0,0.001000,308.000000,2000,TARGET,7248.850531,9771.654513,B,2020A_4
114,424,3DHST_17506,189.330139,62.228523,0,0,0.001000,309.000000,2000,TARGET,7594.662090,10117.307715,B,2020A_3
217,326,3DHST_31384,189.473755,62.298164,0,0,0.001000,313.000000,2000,TARGET,7041.775641,9564.674574,B,2020A_4
117,430,3DHST_14185,189.437225,62.212067,0,0,0.001000,316.000000,2000,TARGET,7224.069520,9746.880366,B,2020A_3
118,431,3DHST_5610,189.300522,62.167603,0,0,0.001000,317.000000,2000,TARGET,7632.484195,10155.117200,B,2020A_3
142,683,3DHST_10998,188.939285,62.196743,0,0,0.001000,323.000000,2000,TARGET,7220.918890,9743.733549,A,2020A_1
143,684,3DHST_12276,189.091080,62.203178,0,0,0.001000,324.000000,2000,TARGET,7694.703582,10217.305657,A,2020A_1
6,335,3DHST_10671,188.918259,62.195209,0,0,0.001000,326.000000,2000,TARGET,7720.492343,10243.089705,A,2020A_4
162,557,3DHST_834,189.191071,62.121220,0,0,0.001000,327.000000,2000,TARGET,7091.577791,9614.447319,A,2020A_2
227,339,3DHST_2406,189.140244,62.142754,0,0,0.001000,331.000000,2000,TARGET,7306.138816,9828.918471,B,2020A_4
229,343,3DHST_33862,189.353271,62.315296,0,0,0.001000,335.000000,2000,TARGET,7435.147744,9957.869343,B,2020A_4
311,700,3DHST_17116,189.233795,62.226604,0,0,0.001000,340.000000,2000,TARGET,7710.201424,10232.795260,B,2020A_1
124,452,3DHST_6281,189.286041,62.171936,0,0,0.001000,342.000000,2000,TARGET,7684.387593,10206.997172,B,2020A_3
237,351,3DHST_24289,189.376129,62.261536,0,0,0.001000,345.000000,2000,TARGET,7143.370778,9666.218816,B,2020A_4
147,707,3DHST_31777,189.125305,62.300854,0,0,0.001000,347.000000,2000,TARGET,7624.334626,10146.968058,A,2020A_1
