ID ra dec redshift Jmag
1353.0 189.0982666 62.13014603 2.2198 27.38610582715863
1354.0 189.1305542 62.13065338 2.1836 23.451118905486908
1358.0 189.07044983 62.13021469 1.978 27.492318510080814
1361.0 189.16088867 62.13041306 2.3783 24.944547901465835
1363.0 189.08992004 62.13079071 2.2157 24.448161174467245
1366.0 189.20509338 62.13034821 2.4008 26.273944896058623
1371.0 189.15821838 62.13108063 2.0523 22.919542325904054
1385.0 189.13206482 62.13111115 1.9665 23.47029361121971
1393.0 189.19586182 62.13072968 2.3863 26.880496306224572
1395.0 189.21789551 62.13134766 2.2051 24.353586367499794
1398.0 189.18275452 62.13077545 2.3102 27.803824773251392
1414.0 189.08668518 62.13118744 2.0999 24.840822365173207
1416.0 189.08210754 62.13126755 2.3373 24.489767903993652
1428.0 189.15643311 62.13150406 1.9909 25.391497549718004
1444.0 189.08389282 62.13188553 2.3763 24.45031859169115
1461.0 189.1809082 62.13154984 1.9717 26.186221847580967
1475.0 189.20826721 62.13219833 2.4766 24.75972456228851
1490.0 189.20576477 62.13227081 2.0958 25.74748398351113
1491.0 189.06777954 62.13210678 2.4505 26.264822330456944
1543.0 189.18173218 62.1330986 2.1059 23.48822017068095
1544.0 189.17041016 62.13277054 2.1613 26.119759802073837
1555.0 189.22036743 62.1330719 1.9905 25.022555408787806
1566.0 189.20993042 62.13301849 2.182 26.546309774312427
1568.0 189.18608093 62.13306046 1.9169 25.592984854820294
1570.0 189.07846069 62.13298416 2.2212 27.47033410868069
1575.0 189.19862366 62.13310623 2.1034 27.2954619984193
1595.0 189.18525696 62.13334274 2.0707 25.42683708209689
1611.0 189.08570862 62.13372421 1.9464 24.3355388303987
1616.0 189.22798157 62.13471222 2.0038 23.133200489730964
1621.0 189.21525574 62.13363266 2.4752 28.795641198948886
1625.0 189.12980652 62.13389587 2.3041 25.501304002905048
1638.0 189.2232666 62.13394547 1.9256 25.90497557283841
1642.0 189.05767822 62.13385773 2.2175 25.92741942232243
1644.0 189.19293213 62.13399124 2.4481 27.059699472359785
1657.0 189.15362549 62.13411713 1.9211 25.956529236596268
1677.0 189.08926392 62.13433075 1.9095 26.46641527904536
1678.0 189.1197052 62.1354332 2.3983 23.040312484181406
1680.0 189.18360901 62.13442612 2.0427 26.548070391399982
1684.0 189.07592773 62.13524246 2.1161 23.10285268393355
1698.0 189.20085144 62.13484955 2.2832 24.522420977878454
1704.0 189.21972656 62.13467407 2.0084 27.11584386606126
1714.0 189.2237854 62.13495636 2.0333 25.219152533319267
1722.0 189.19494629 62.13500977 2.4901 24.52641459149743
1742.0 189.16252136 62.13523483 2.3701 26.735224992738463
1762.0 189.18009949 62.13550568 2.2944 26.69854390131612
1788.0 189.1081543 62.13597488 1.9508 26.50367438026083
1802.0 189.07571411 62.1362114 2.3088 26.94581250732308
1834.0 189.17242432 62.13665009 1.9082 26.283286363539506
1848.0 189.08914185 62.13711929 2.1985 24.556158750175346
1858.0 189.08961487 62.13711548 2.3972 25.302088203470458
1886.0 189.22911072 62.13848114 1.9939 23.845466115943452
1891.0 189.25222778 62.13762665 2.2483 24.87763374059877
1918.0 189.20506287 62.13786697 2.2194 26.7458518336212
1949.0 189.24972534 62.13936234 2.1389 23.424006596349418
1954.0 189.22477722 62.13831711 2.2732 26.836068845642206
1956.0 189.17474365 62.13872528 2.2514 24.433049282963594
1957.0 189.23265076 62.1389389 1.9622 24.087731776104913
1975.0 189.17460632 62.13896179 2.3722 23.45618866278427
1983.0 189.21090698 62.13858032 2.0927 27.34373306197829
1990.0 189.2228241 62.1390419 2.3733 24.247207885310925
1994.0 189.11968994 62.13884354 2.2942 24.67312055808714
2018.0 189.0848999 62.1394577 1.9131 23.690633832971088
2047.0 189.09008789 62.13931656 2.3221 24.920772078437135
2059.0 189.23753357 62.13941193 2.4161 25.178357587492968
2060.0 189.16383362 62.13936615 1.9927 25.823434604566756
2069.0 189.15371704 62.139431 2.3778 nan
2075.0 189.19802856 62.13972855 2.0806 25.077940718375487
2080.0 189.12545776 62.14017487 2.0605 23.785660952800484
