ID z_fink z_bouw Hmag ra dec
z6_GND_44138 6.09 5.49 26.74 189.256210 62.291264
z5_GND_7334 5.55 5.49 26.21 189.173019 62.296448
z5_GND_42437 5.32 5.56 27.50 189.172195 62.305618
z6_GND_41772 5.72 5.43 27.29 189.161087 62.309929
z5_GND_5232 5.31 5.12 27.68 189.211029 62.325092
z6_GND_24250 6.02 5.49 27.01 189.141068 62.234951
z5_GND_28891 5.32 5.43 26.37 189.116974 62.222080
z5_GND_22796 5.17 5.62 25.87 189.088608 62.239491
z5_GND_16761 5.54 5.30 27.89 189.133118 62.256535
z6_GND_15034 5.58 5.49 27.24 189.121994 62.261303
z5_GND_17752 5.46 5.43 26.93 189.091812 62.253738
z5_GND_11013 5.47 5.49 26.60 189.157440 62.273609
z7_GND_9308 7.60 6.03 27.75 189.151688 62.280800
z5_GND_11014 5.34 5.69 27.64 189.123032 62.273594
z6_GND_42241 5.54 5.49 27.24 189.136017 62.307053
z8_GNW_25541 7.56 7.24 26.91 189.513046 62.288696
z7_GNW_23317 7.24 7.16 26.48 189.439667 62.302383
z8_GNW_20826 7.97 7.58 25.66 189.401169 62.319225
z8_GNW_27475 7.84 7.75 26.79 189.373810 62.336391
z7_GNW_19517 7.37 7.16 26.80 189.325821 62.334698
z7_GNW_18773 7.37 7.58 25.98 189.309174 62.362141
z7_GNW_21903 7.12 6.92 26.48 189.290756 62.311100
z7_GNW_19939 7.24 7.08 25.82 189.273392 62.324783
z8_GNW_19912 7.95 7.16 26.54 189.252716 62.328400
z7_GNW_32502 7.39 7.08 26.02 189.285812 62.354965
z7_GNW_32653 7.09 7.08 26.22 189.278732 62.357452
z8_GNW_2963 7.63 7.33 27.15 189.092239 62.122368
z7_GNW_7284 6.91 7.08 26.34 189.036041 62.149914
z7_GND_9252 7.21 7.16 26.29 189.069672 62.281013
z7_GND_40057 7.28 6.92 26.33 189.339462 62.184780
z7_GND_38200 7.55 6.77 26.24 189.359146 62.192123
z8_GND_32588 7.63 7.58 27.27 189.325317 62.210953
z7_GND_18323 7.33 6.77 26.00 189.371399 62.252140
z8_GND_41247 7.67 6.92 27.04 189.279510 62.179752
z7_GND_41199 7.17 6.92 27.25 189.185516 62.179821
z7_GND_39781 7.00 6.92 27.18 189.251724 62.185944
z8_GND_22233 7.65 7.00 25.98 189.249802 62.241226
z7_GND_20700 7.37 6.92 27.22 189.205246 62.245541
z5_GND_20169 5.39 6.84 26.95 189.204132 62.247089
z7_GND_19215 7.23 7.16 27.45 189.199692 62.249809
z7_GND_18869 7.15 6.84 26.61 189.205292 62.250767
z7_GND_15396 7.11 6.46 26.57 189.275909 62.260303
z7_GND_18228 7.08 7.33 27.42 189.245270 62.252533
z7_GND_13456 7.22 7.16 26.26 189.264938 62.265789
z8_GND_16153 7.69 6.92 27.62 189.162552 62.258240
z7_GND_11368 7.44 7.00 27.10 189.283722 62.272243
z7_GND_11402 7.12 7.16 25.30 189.186172 62.270863
z7_GND_9908 7.12 6.92 27.50 189.286926 62.277763
z7_GND_8888 7.25 7.24 27.75 189.261658 62.283272
z7_GND_10527 7.02 6.77 27.18 189.202606 62.275509
z7_GND_10402 7.00 6.84 25.94 189.179276 62.275894
z7_GND_44826 7.09 7.08 27.70 189.179764 62.282383
z7_GND_8192 6.75 7.08 27.13 189.183365 62.287727
z7_GND_44859 7.14 6.54 27.27 189.163269 62.281876
z7_GND_8012 7.31 7.49 26.75 189.260422 62.289406
z7_GND_7831 7.33 7.24 26.44 189.177307 62.291050
z7_GND_44109 7.43 7.41 26.00 189.177155 62.291512
z7_GND_6161 7.14 7.00 26.63 189.215073 62.317932
z7_GND_41546 7.47 6.39 26.77 189.159698 62.310566
z7_GND_4786 7.57 7.33 27.07 189.191559 62.329220
z8_GND_25328 7.88 7.41 27.89 189.127716 62.232597
z7_GND_20984 7.12 7.00 27.03 189.133713 62.244598
z8_GND_23069 7.78 6.84 28.34 189.109497 62.238792
z8_GND_23069 7.78 7.41 26.94 189.109497 62.238792
z5_GND_17585 5.43 5.62 27.77 189.148361 62.253647
z7_GND_14124 7.16 7.08 27.77 189.135635 62.263874
z7_GND_18181 7.00 6.84 25.54 189.082687 62.252476
z7_GND_10780 7.21 7.08 26.96 189.138077 62.274445
z7_GND_45190 7.44 7.33 26.53 189.138504 62.275600
z7_GND_44088 7.20 7.08 27.08 189.134995 62.291870
z7_GND_42108 7.00 6.92 26.13 189.134430 62.307869
z8_GNW_27475 7.84 8.02 26.85 189.373810 62.336391
z8_GNW_30497 7.84 7.93 26.75 189.353027 62.347015
z8_GNW_5376 7.70 7.84 26.33 189.191101 62.139683
z8_GNW_6106 8.05 7.24 27.11 189.203110 62.143940
z8_GNW_21001 7.90 7.84 26.41 189.286987 62.318020
z7_GNW_21025 7.15 6.39 27.04 189.283081 62.318039
z8_GNW_2963 7.63 7.33 27.08 189.092239 62.122368
z8_GNW_13554 7.47 7.41 26.72 189.039001 62.189419
z7_GNW_15559 7.41 8.02 26.25 189.083511 62.202583
z8_GND_37387 8.07 8.11 27.14 189.330704 62.194847
z7_GND_34204 7.28 7.93 27.02 189.359695 62.205971
z8_GND_32082 7.64 7.49 27.27 189.364258 62.212334
