ID z_fink ra dec
z5_GND_36745 4.610000133514404 189.223099 62.197212
z5_GND_3189 4.610000133514404 189.328201 62.174706
z5_GND_42531 4.610000133514404 189.204422 62.305042
z5_GND_29149 4.610000133514404 189.418411 62.221279
z5_GND_9875 4.610000133514404 189.252075 62.277954
z5_GND_21629 4.610000133514404 189.372238 62.242275
z5_GND_28640 4.619999885559082 189.303635 62.223019
z5_GND_15704 4.619999885559082 189.158630 62.259457
z5_GND_5614 4.619999885559082 189.160507 62.322067
z5_GND_2460 4.619999885559082 189.265930 62.169712
z5_GND_24150 4.619999885559082 189.194733 62.234158
z5_GND_25233 4.619999885559082 189.146118 62.232838
z5_GND_18423 4.619999885559082 189.227463 62.251453
z5_GND_16758 4.619999885559082 189.176086 62.256329
z5_GND_34536 4.619999885559082 189.339478 62.204887
z5_GND_2784 4.630000114440918 189.253387 62.171928
z5_GND_37425 4.630000114440918 189.310242 62.194630
z5_GND_25253 4.630000114440918 189.335327 62.232723
z5_GND_23165 4.630000114440918 189.242035 62.238514
z5_GND_22011 4.630000114440918 189.062363 62.241806
z5_GND_23725 4.630000114440918 189.336594 62.236912
z5_GND_6142 4.630000114440918 189.158569 62.318081
z5_GND_39820 4.630000114440918 189.276779 62.185776
z5_GND_5767 4.630000114440918 189.212250 62.320900
z5_GND_41933 4.630000114440918 189.218231 62.309032
z5_GND_2219 4.630000114440918 189.331207 62.167931
z5_GND_17530 4.630000114440918 189.165771 62.254208
z5_GND_16191 4.630000114440918 189.069595 62.258060
z5_GND_1392 4.639999866485596 189.303406 62.160259
z5_GND_7231 4.639999866485596 189.141800 62.297096
z5_GND_34024 4.639999866485596 189.132889 62.206432
z5_GND_26756 4.639999866485596 189.119308 62.228588
z5_GND_38212 4.639999866485596 189.273590 62.192028
z5_GND_35894 4.639999866485596 189.167206 62.200340
z5_GND_18670 4.639999866485596 189.219055 62.251297
z5_GND_2616 4.639999866485596 189.277863 62.170856
z5_GND_23671 4.639999866485596 189.393036 62.237000
z5_GND_3852 4.639999866485596 189.206268 62.178337
z5_GND_8629 4.639999866485596 189.238281 62.284611
z5_GND_12309 4.639999866485596 189.272202 62.269360
z5_GND_14366 4.650000095367432 189.337204 62.263130
z5_GND_30077 4.650000095367432 189.279831 62.218704
z5_GND_22553 4.650000095367432 189.169418 62.240383
z5_GND_30366 4.650000095367432 189.430481 62.217716
z5_GND_38016 4.650000095367432 189.326096 62.192520
z5_GND_2226 4.659999847412109 189.325256 62.167912
z5_GND_19790 4.659999847412109 189.222733 62.248093
z5_GND_1364 4.659999847412109 189.296829 62.160011
z5_GND_10842 4.659999847412109 189.229065 62.274261
z5_GND_42770 4.659999847412109 189.147095 62.304214
z5_GND_36376 4.659999847412109 189.324326 62.198391
z5_GND_21794 4.659999847412109 189.139618 62.241444
z5_GND_26177 4.659999847412109 189.147827 62.230450
z5_GND_21566 4.659999847412109 189.283859 62.243031
z5_GND_17923 4.659999847412109 189.081924 62.253254
z5_GND_19140 4.670000076293945 189.317719 62.249874
z5_GND_34223 4.670000076293945 189.140854 62.205963
z5_GND_41671 4.670000076293945 189.191467 62.310493
z5_GND_1412 4.670000076293945 189.282623 62.160500
z5_GND_23422 4.670000076293945 189.118423 62.237839
z5_GND_45104 4.670000076293945 189.153244 62.277130
z5_GND_6311 4.670000076293945 189.146896 62.316666
z5_GND_34207 4.670000076293945 189.212158 62.206036
z5_GND_23731 4.679999828338623 189.305710 62.236950
z5_GND_19743 4.679999828338623 189.213486 62.248077
z5_GND_1946 4.679999828338623 189.293930 62.165588
z5_GND_15827 4.679999828338623 189.085892 62.259041
z5_GND_43974 4.679999828338623 189.114304 62.292992
z5_GND_20690 4.679999828338623 189.112305 62.245541
z5_GND_13333 4.679999828338623 189.337494 62.266018
z5_GND_30103 4.679999828338623 189.378387 62.218506
